,Unnamed:_0,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open_Int,Delta,Gamma,Rho,Theta,Vega,Implied_volatility,currentDate,Underlaying_asset_price,Expiration_Date,compute_iv
570,5006,3-Mar-17,87.5,EA,Call,1.59,0.42,1.12,1.23,1.0,11.0,0.49641,0.12775999999999998,0.01609,-0.06172,0.06648,0.23986,2/17/2017,87.300003,0.038329911,0.24029347641921725
571,5032,17-Mar-17,85.0,EA,Put,1.05,0.05,1.03,1.1,457.0,254.0,-0.31069,0.06741,-0.0184,-0.03517,0.09004,0.21872,2/17/2017,87.300003,0.076659822,0.21697235453769717
572,5050,16-Jun-17,85.0,EA,Put,4.05,0.15,3.9,4.1,13.0,173.0,-0.37822,0.02958,-0.09712,-0.02081,0.18579,0.27978000000000003,2/17/2017,87.300003,0.325804244,0.28060033012891883
573,5075,3-Mar-17,13.0,ENDP,Call,0.85,-0.3,0.75,1.1,38.0,347.0,0.55275,0.20235,0.00242,-0.03606,0.00984,0.7931199999999999,2/17/2017,13.08,0.038329911,0.7883189155185769
574,5108,17-Mar-17,340.0,EQIX,Put,1.35,-0.45,1.05,1.45,23.0,174.0,-0.10589,0.00634,-0.02777,-0.10401,0.24095,0.28407,2/17/2017,374.279999,0.076659822,0.28040244866356767
575,5134,17-Mar-17,85.0,EEFT,Call,0.55,0.16,0.5,0.7,24.0,111.0,0.25208,0.0981,0.01565,-0.02541,0.06385,0.17473,2/17/2017,81.91999799999998,0.076659822,0.17315488472079152
576,5136,19-May-17,85.0,EEFT,Call,2.55,0.35,2.45,2.8,1.0,55.0,0.43216,0.0535,0.08363999999999999,-0.02342,0.16739,0.22419,2/17/2017,81.91999799999998,0.249144422,0.22019467577553428
577,5137,19-May-17,90.0,EEFT,Call,1.05,0.45,1.05,1.45,3.0,7.0,0.23751,0.03813,0.04652,-0.01869,0.12208,0.2124,2/17/2017,81.91999799999998,0.249144422,0.21178709509440402
578,5142,17-Mar-17,18.0,EXAS,Put,0.81,0.31,0.7,0.85,94.0,218.0,-0.26443,0.07655,-0.00393,-0.02909,0.02009,0.76247,2/17/2017,19.91,0.076659822,0.7671118316263164
579,5169,19-Jan-18,22.0,EXEL,Call,6.23,0.33,5.6,6.8,50.0,214.0,0.67793,0.02727,0.08699,-0.01001,0.07794,0.63051,2/17/2017,23.120001,0.919917864,0.6353524010918965
580,5176,24-Feb-17,122.0,EXPE,Call,0.29,-0.19,0.15,0.35,10.0,128.0,0.17432999999999998,0.10455,0.00393,-0.054820000000000015,0.04495,0.17307,2/17/2017,119.410004,0.019164956,0.1695855506785635
581,5178,24-Feb-17,116.0,EXPE,Put,0.2,-0.2,0.1,0.3,3.0,134.0,-0.11866,0.06402999999999999,-0.00243,-0.04903,0.04042,0.19409,2/17/2017,119.410004,0.019164956,0.18920867247576645
582,5190,3-Mar-17,124.0,EXPE,Call,0.33,-0.72,0.2,0.4,10.0,118.0,0.14593,0.05843,0.00659,-0.03922,0.06537000000000001,0.17465,2/17/2017,119.410004,0.038329911,0.1796148704126473
583,5197,17-Mar-17,120.0,EXPE,Call,2.14,-0.36,2.1,2.3,127.0,809.0,0.50544,0.0811,0.04485,-0.05204,0.12905999999999998,0.17257999999999998,2/17/2017,119.410004,0.076659822,0.17369234850817772
