,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
2446,15-Jun-18,135.0,AAPL,Call,14.6,0.2,14.6,14.85,38.0,400.0,0.69996,0.01795,1.09506,-0.02158,0.5293399999999999,0.17752,2/17/2017,135.720001,0.670773443
2447,15-Jun-18,135.0,AAPL,Call,14.6,0.2,14.6,14.85,38.0,400.0,0.69996,0.01795,1.09506,-0.02158,0.5293399999999999,0.17752,2/17/2017,135.720001,1.32238193
2448,20-Oct-17,140.0,AAPL,Call,7.44,0.06,7.4,7.55,312.0,24987.0,0.52894,0.02257,0.43758,-0.02662,0.44323,0.17094,2/17/2017,135.720001,0.670773443
2449,20-Oct-17,145.0,AAPL,Call,5.55,0.1,5.5,5.6,562.0,15094.0,0.44892,0.0181,0.3658,-0.02876,0.46507,0.1821,2/17/2017,135.720001,0.670773443
2450,20-Oct-17,125.0,AAPL,Put,5.3,-0.07,5.15,5.3,19.0,4767.0,-0.28196,0.01178,-0.2402,-0.01822,0.38392,0.24389,2/17/2017,135.720001,0.670773443
2451,20-Oct-17,130.0,AAPL,Put,7.15,-0.15,7.0,7.1,159.0,3868.0,-0.33685,0.01513,-0.26667,-0.0165,0.39873,0.23299,2/17/2017,135.720001,0.670773443
2452,20-Oct-17,135.0,AAPL,Put,9.4,-0.15,9.25,9.3,77.0,6340.0,-0.41599,0.01907,-0.27359,-0.01544,0.41492,0.24999,2/17/2017,135.720001,0.670773443
2453,20-Oct-17,140.0,AAPL,Put,12.15,-0.05,11.85,12.0,34.0,1279.0,-0.49478,0.01728,-0.34204,-0.016919999999999998,0.4345600000000001,0.24353,2/17/2017,135.720001,0.670773443
2454,20-Oct-17,145.0,AAPL,Put,15.06,-0.24,14.9,15.1,5.0,833.0,-0.55086,0.01505,-0.40195,-0.01885,0.44309,0.28021,2/17/2017,135.720001,0.670773443
2455,17-Nov-17,125.0,AAPL,Call,16.34,0.24,16.4,16.6,53.0,11483.0,0.83547,0.014769999999999997,0.7247100000000001,-0.02455,0.35105,0.12834,2/17/2017,135.720001,0.747433265
2456,17-Nov-17,130.0,AAPL,Call,13.3,0.05,13.35,13.5,39.0,26908.0,0.71736,0.016569999999999998,0.62405,-0.02757,0.39983,0.16326,2/17/2017,135.720001,0.747433265
2457,17-Nov-17,135.0,AAPL,Call,10.66,0.1,10.65,10.8,92.0,5526.0,0.63361,0.01912,0.56483,-0.02884,0.43024,0.16664,2/17/2017,135.720001,0.747433265
2458,17-Nov-17,140.0,AAPL,Call,8.3,0.06,8.3,8.4,67.0,13991.0,0.5435399999999999,0.01883,0.48894,-0.02799,0.4623100000000001,0.1588,2/17/2017,135.720001,0.747433265
2459,17-Nov-17,145.0,AAPL,Call,6.33,0.03,6.3,6.45,132.0,9931.0,0.46612,0.01685,0.41818,-0.028360000000000007,0.4876,0.19388,2/17/2017,135.720001,0.747433265
2460,17-Nov-17,125.0,AAPL,Put,6.2,-0.1,6.1,6.25,20.0,2371.0,-0.2862,0.01115,-0.27237,-0.01728,0.40458,0.24973,2/17/2017,135.720001,0.747433265
2461,17-Nov-17,130.0,AAPL,Put,8.2,-0.1,8.0,8.1,52.0,4323.0,-0.34715,0.01265,-0.3175,-0.01861,0.4232800000000001,0.2811,2/17/2017,135.720001,0.747433265
