,FIPS,Lat,Long_,Confirmed,Deaths,Active,Combined_Key,Population
1788,27029,47.57992111,-95.37790562,3,0,3,"Clearwater, MN",8818
1789,1029,33.67679204,-85.52005899,12,0,12,"Cleburne, AL",14910
1790,48093,31.94854689,-98.55876441,3,0,3,"Comanche, TX",13635
1791,40031,34.65973764,-98.47195055,52,0,52,"Comanche, OK",120749
1792,6011,39.17881957,-122.2331726,3,0,3,"Colusa, CA",21547
1793,53013,46.29442881,-117.9051983,1,0,1,"Columbia, WA",3985
1794,41009,45.94464254,-123.0890898,14,0,14,"Columbia, OR",52354
1795,13073,33.54534185,-82.263524,78,0,78,"Columbia, GA",156714
1796,12023,30.22509788,-82.62160164,34,0,34,"Columbia, FL",71686
1797,5027,33.21230701,-93.22642793,4,0,4,"Columbia, AR",23457
1798,48089,29.622098,-96.5273805,7,0,7,"Colorado, TX",21493
1799,51570,37.26420587,-77.39609676,17,0,17,"Colonial Heights, VA",17370
1800,35007,36.60569702,-104.64726740000002,2,0,2,"Colfax, NM",11941
1801,31037,41.57486951,-97.0868542,4,0,4,"Colfax, NE",10709
1802,17029,39.51949084,-88.22358557,9,0,9,"Coles, IL",50621
1803,47031,35.49090731,-86.07311784,12,0,12,"Coffee, TN",56520
1804,1031,31.39932826,-85.98901039,40,0,40,"Coffee, AL",52342
1805,46029,44.97788119,-97.18827677,13,0,13,"Codington, SD",28009
1806,47029,35.9278914,-83.11828725,5,0,5,"Cocke, TN",36004
1807,4003,31.87934684,-109.7516088,15,0,15,"Cochise, AZ",125922
1808,20029,39.48028352,-97.64925343,3,0,3,"Cloud, KS",8786
1809,42035,41.23255967,-77.63785995,8,0,8,"Clinton, PA",38632
1810,39027,39.41485808,-83.80852286,23,0,23,"Clinton, OH",41968
1811,29049,39.6013098,-94.40465394,11,0,11,"Clinton, MO",20387
1812,21053,36.72581156,-85.13377529,2,0,2,"Clinton, KY",10218
1813,19045,41.89981633,-90.53275096,38,0,38,"Clinton, IA",46429
1814,17027,38.60704876,-89.42385254,39,0,39,"Clinton, IL",37562
1815,13065,30.91395822,-82.70432472,7,0,7,"Clinch, GA",6618
1816,5025,33.89723187,-92.18537045,8,0,8,"Cleveland, AR",7956
1817,1049,34.45946862,-85.80782906,29,0,29,"DeKalb, AL",71513
1818,48123,29.08101855,-97.35681170000001,10,0,10,"DeWitt, TX",20160
1819,40023,34.02807439,-95.54771129,3,0,3,"Choctaw, OK",14672
1820,39047,39.56021306,-83.4562016,12,0,12,"Fayette, OH",28525
1821,20057,37.69200114,-99.88825298,32,0,32,"Ford, KS",33619
1822,51065,37.84157909,-78.27715475,62,0,62,"Fluvanna, VA",27270
1823,51063,36.9302126,-80.36738849,1,0,1,"Floyd, VA",15749
1824,48153,34.07227468,-101.3031546,2,0,2,"Floyd, TX",5712
1825,21071,37.56213922,-82.74750924,0,0,0,"Floyd, KY",35589
1826,55037,45.84963535,-88.39804137,2,0,2,"Florence, WI",4295
1827,21069,38.36758311,-83.69657514,2,0,2,"Fleming, KY",14581
1828,27045,43.67394126,-92.08980382,10,0,10,"Fillmore, MN",21067
1829,53019,48.471143100000006,-118.5154041,1,0,1,"Ferry, WA",7627
1830,47049,36.38128818,-84.92870012,3,0,3,"Fentress, TN",18523
1831,54019,38.02974928,-81.08286634,2,0,2,"Fayette, WV",42406
1832,48149,29.87788372,-96.92076062,12,0,12,"Fayette, TX",25346
1833,47047,35.19615831,-89.41399032,37,0,37,"Fayette, TN",41133
1834,19065,42.86271799,-91.8441231,5,0,5,"Fayette, IA",19650
1835,50009,44.72736416,-71.73579864,1,0,1,"Essex, VT",6163
1836,1057,33.72076938,-87.73886638,4,0,4,"Fayette, AL",16302
1837,51061,38.73564842,-77.80647472,29,0,29,"Fauquier, VA",71222
1838,46049,45.07082625,-99.14535601,1,0,1,"Faulk, SD",2299
1839,27043,43.67381499,-93.94787458,4,0,4,"Faribault, MN",13653
1840,48147,33.59564294,-96.10751083,5,0,5,"Fannin, TX",35514
1841,13111,34.86430205,-84.316964,14,0,14,"Fannin, GA",26188
1842,51610,38.88485255,-77.17560759,0,0,0,"Falls Church, VA",14617
1843,48145,31.25350609,-96.93630086,1,0,1,"Falls, TX",17297
1844,46047,43.23929297,-103.5275691,1,0,1,"Fall River, SD",6713
1845,45039,34.39287073,-81.1195624,24,0,24,"Fairfield, SC",22347
1846,51600,38.85157547,-77.29779640000002,0,0,0,"Fairfax City, VA",24019
1847,13109,32.15328841,-81.8870105,2,0,2,"Evans, GA",10654
1848,22039,30.72985248,-92.39915924,40,0,40,"Evangeline, LA",33395
1849,42053,41.51095103,-79.23229292,5,0,5,"Forest, PA",7247
